header	segment	source	accession	strain	subtype	date	year	location	host	colourName
blasthit|EPI_ISL_243492|A/mallard_duck/Netherlands/7/2008|A_/_H3N8|2008-08-22	seg6	blasthit	EPI_ISL_243492	A/mallard_duck/Netherlands/7/2008	H3N8	22/08/2008	2008	Netherlands	anseriformes	red2
blasthit|EPI_ISL_84560|A/mallard/Netherlands/20/2005|A_/_H12N8|2005-XX-XX	seg6	blasthit	EPI_ISL_84560	A/mallard/Netherlands/20/2005	H12N8	2005-XX-XX	2005	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243486|A/turnstone/Netherlands/1/2010|A_/_H3N8|2010-10-09	seg6	blasthit	EPI_ISL_243486	A/turnstone/Netherlands/1/2010	H3N8	09/10/2010	2010	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_74065|A/Teal/Norway/10_1575/2007|A_/_H3N8|2007-XX-XX	seg6	blasthit	EPI_ISL_74065	A/Teal/Norway/10_1575/2007	H3N8	2007-XX-XX	2007	Norway	anseriformes	red2
blasthit|EPI_ISL_32005|A/mute_swan/Germany/R2927/2007|A_/_H6N8|2007-XX-XX	seg6	blasthit	EPI_ISL_32005	A/mute_swan/Germany/R2927/2007	H6N8	2007-XX-XX	2007	Germany	anseriformes	red2
blasthit|EPI_ISL_15251|A/duck/Eastern_China/163/2002|A_/_H6N8|2002-XX-XX	seg6	blasthit	EPI_ISL_15251	A/duck/Eastern_China/163/2002	H6N8	2002-XX-XX	2002	Eastern_China	anseriformes	red2
blasthit|EPI_ISL_30813|A/mallard/Netherlands/33/2006|A_/_H7N8|2006-XX-XX	seg6	blasthit	EPI_ISL_30813	A/mallard/Netherlands/33/2006	H7N8	2006-XX-XX	2006	Netherlands	anseriformes	red2
blasthit|EPI_ISL_30805|A/turnstone/Netherlands/1/2007|A_/_H3N8|2007-XX-XX	seg6	blasthit	EPI_ISL_30805	A/turnstone/Netherlands/1/2007	H3N8	2007-XX-XX	2007	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_97364|A/goose/Germany/R1767/2007|A_/_H6N8|2007-XX-XX	seg6	blasthit	EPI_ISL_97364	A/goose/Germany/R1767/2007	H6N8	2007-XX-XX	2007	Germany	anseriformes	red2
blasthit|EPI_ISL_3008|A/duck/Spain/543/2006|A_/_H6N8|2006-10-07	seg6	blasthit	EPI_ISL_3008	A/duck/Spain/543/2006	H6N8	07/10/2006	2006	Spain	anseriformes	red2
blasthit|EPI_ISL_2852|A/duck/Norway/1/03|A_/_H3N8|2003-XX-XX	seg6	blasthit	EPI_ISL_2852	A/duck/Norway/1/03	H3N8	2003-XX-XX	2003	Norway	anseriformes	red2
blasthit|EPI_ISL_267383|A/mallard_duck/Netherlands/2/2003|A_/_H3N8|2003-09-25	seg6	blasthit	EPI_ISL_267383	A/mallard_duck/Netherlands/2/2003	H3N8	25/09/2003	2003	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267251|A/mallard_duck/Netherlands/1/2003|A_/_H3N8|2003-09-25	seg6	blasthit	EPI_ISL_267251	A/mallard_duck/Netherlands/1/2003	H3N8	25/09/2003	2003	Netherlands	anseriformes	red2
blasthit|EPI_ISL_84554|A/common_eider/Netherlands2/2006|A_/_H4N8|2006-XX-XX	seg6	blasthit	EPI_ISL_84554	A/common_eider/Netherlands2/2006	H4N8	2006-XX-XX	2006	Netherlands2	anseriformes	red2
blasthit|EPI_ISL_31484|A/mallard/Hungary/19616/2007|A_/_H3N8|2007-XX-XX	seg6	blasthit	EPI_ISL_31484	A/mallard/Hungary/19616/2007	H3N8	2007-XX-XX	2007	Hungary	anseriformes	red2
blasthit|EPI_ISL_3007|A/duck/Spain/539/2006|A_/_H6N8|2006-10-07	seg6	blasthit	EPI_ISL_3007	A/duck/Spain/539/2006	H6N8	07/10/2006	2006	Spain	anseriformes	red2
blasthit|EPI_ISL_267292|A/white-fronted_goose/Netherlands/5/2011|A_/_H6N8|2011-12-14	seg6	blasthit	EPI_ISL_267292	A/white-fronted_goose/Netherlands/5/2011	H6N8	14/12/2011	2011	Netherlands	anseriformes	red2
seal|A/grey_seal/England/027661/2017|H3N8|MP|2017-02	seg7	seal	noid	A/grey_seal/England/027661/2017	H3N8	2017-02	2017	England	seal	blue2
blasthit|EPI_ISL_243522|A/mallard_duck/Netherlands/13/2012|A_/_H3N8|2012-10-01	seg7	blasthit	EPI_ISL_243522	A/mallard_duck/Netherlands/13/2012	H3N8	01/10/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_158187|A/mallard/Sweden/80261/2008|A_/_H4N9|2008-11-21	seg7	blasthit	EPI_ISL_158187	A/mallard/Sweden/80261/2008	H4N9	21/11/2008	2008	Sweden	anseriformes	red2
blasthit|EPI_ISL_267386|A/mallard_duck/Netherlands/34/2010|A_/_H3N2|2010-10-08	seg7	blasthit	EPI_ISL_267386	A/mallard_duck/Netherlands/34/2010	H3N2	08/10/2010	2010	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243633|A/mallard_duck/Netherlands/34/2006|A_/_H3N8|2006-09-11	seg7	blasthit	EPI_ISL_243633	A/mallard_duck/Netherlands/34/2006	H3N8	11/09/2006	2006	Netherlands	anseriformes	red2
blasthit|EPI_ISL_189374|A/mallard/Sweden/102260/2009|A_/_H10N1|2009-11-19	seg7	blasthit	EPI_ISL_189374	A/mallard/Sweden/102260/2009	H10N1	19/11/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189373|A/mallard/Sweden/102087/2009|A_/_H10N1|2009-11-17	seg7	blasthit	EPI_ISL_189373	A/mallard/Sweden/102087/2009	H10N1	17/11/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189614|A/mallard/Sweden/102214/2009|A_/_H10N1|2009-11-18	seg7	blasthit	EPI_ISL_189614	A/mallard/Sweden/102214/2009	H10N1	18/11/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_158228|A/mallard/Sweden/6134/2005|A_/_H4N6|2005-11-03	seg7	blasthit	EPI_ISL_158228	A/mallard/Sweden/6134/2005	H4N6	03/11/2005	2005	Sweden	anseriformes	red2
blasthit|EPI_ISL_158293|A/mallard/Sweden/59937/2007|A_/_H4N6|2007-09-22	seg7	blasthit	EPI_ISL_158293	A/mallard/Sweden/59937/2007	H4N6	22/09/2007	2007	Sweden	anseriformes	red2
blasthit|EPI_ISL_95121|A/Anas_platyrhynchos/Camargue/091863/09|A_/_H10N7|2009-05-20	seg7	blasthit	EPI_ISL_95121	A/Anas_platyrhynchos/Camargue/091863/09	H10N7	20/05/2009	2009	Camargue	anseriformes	red2
blasthit|EPI_ISL_243390|A/mallard_duck/Netherlands/40/2006|A_/_H6N8|2006-09-16	seg7	blasthit	EPI_ISL_243390	A/mallard_duck/Netherlands/40/2006	H6N8	16/09/2006	2006	Netherlands	anseriformes	red2
blasthit|EPI_ISL_189418|A/mallard/Sweden/105254/2009|A_/_H10N1|2009-11-29	seg7	blasthit	EPI_ISL_189418	A/mallard/Sweden/105254/2009	H10N1	29/11/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189377|A/mallard/Sweden/105186/2009|A_/_H10N1|2009-11-28	seg7	blasthit	EPI_ISL_189377	A/mallard/Sweden/105186/2009	H10N1	28/11/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189375|A/mallard/Sweden/104746/2009|A_/_H10N1|2009-11-21	seg7	blasthit	EPI_ISL_189375	A/mallard/Sweden/104746/2009	H10N1	21/11/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189380|A/mallard/Sweden/105364/2009|A_/_H10N1|2009-11-30	seg7	blasthit	EPI_ISL_189380	A/mallard/Sweden/105364/2009	H10N1	30/11/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189389|A/mallard/Sweden/105536/2009|A_/_H10N1|2009-12-03	seg7	blasthit	EPI_ISL_189389	A/mallard/Sweden/105536/2009	H10N1	03/12/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189387|A/mallard/Sweden/105501/2009|A_/_H10N1|2009-12-02	seg7	blasthit	EPI_ISL_189387	A/mallard/Sweden/105501/2009	H10N1	02/12/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189386|A/mallard/Sweden/105486/2009|A_/_H10N1|2009-12-02	seg7	blasthit	EPI_ISL_189386	A/mallard/Sweden/105486/2009	H10N1	02/12/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189385|A/mallard/Sweden/105474/2009|A_/_H10N1|2009-12-02	seg7	blasthit	EPI_ISL_189385	A/mallard/Sweden/105474/2009	H10N1	02/12/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189384|A/mallard/Sweden/105465/2009|A_/_H10N1|2009-12-02	seg7	blasthit	EPI_ISL_189384	A/mallard/Sweden/105465/2009	H10N1	02/12/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189383|A/mallard/Sweden/105404/2009|A_/_H10N1|2009-12-01	seg7	blasthit	EPI_ISL_189383	A/mallard/Sweden/105404/2009	H10N1	01/12/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189379|A/mallard/Sweden/105323/2009|A_/_H10N1|2009-11-30	seg7	blasthit	EPI_ISL_189379	A/mallard/Sweden/105323/2009	H10N1	30/11/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189382|A/mallard/Sweden/105402/2009|A_/_H10N1|2009-12-01	seg7	blasthit	EPI_ISL_189382	A/mallard/Sweden/105402/2009	H10N1	01/12/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189378|A/mallard/Sweden/105259/2009|A_/_H10N1|2009-11-29	seg7	blasthit	EPI_ISL_189378	A/mallard/Sweden/105259/2009	H10N1	29/11/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189381|A/mallard/Sweden/105365/2009|A_/_H10N1|2009-11-30	seg7	blasthit	EPI_ISL_189381	A/mallard/Sweden/105365/2009	H10N1	30/11/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189391|A/mallard/Sweden/107688/2009|A_/_H10N1|2009-12-04	seg7	blasthit	EPI_ISL_189391	A/mallard/Sweden/107688/2009	H10N1	04/12/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_189390|A/mallard/Sweden/105565/2009|A_/_H10N1|2009-12-03	seg7	blasthit	EPI_ISL_189390	A/mallard/Sweden/105565/2009	H10N1	03/12/2009	2009	Sweden	anseriformes	red2
blasthit|EPI_ISL_158230|A/mallard/Sweden/7582/2003|A_/_H4N6|2003-11-05	seg7	blasthit	EPI_ISL_158230	A/mallard/Sweden/7582/2003	H4N6	05/11/2003	2003	Sweden	anseriformes	red2
blasthit|EPI_ISL_122074|A/mallard/Sweden/57/2002|A_/_H2N3|2002-XX-XX	seg7	blasthit	EPI_ISL_122074	A/mallard/Sweden/57/2002	H2N3	2002-XX-XX	2002	Sweden	anseriformes	red2
blasthit|EPI_ISL_63531|A/mallard/Czech_Republic/14633-16/2007|A_/_H3N8|2007-09-19	seg7	blasthit	EPI_ISL_63531	A/mallard/Czech_Republic/14633-16/2007	H3N8	19/09/2007	2007	Czech_Republic	anseriformes	red2
blasthit|EPI_ISL_158292|A/mallard/Sweden/59896/2007|A_/_H4N6|2007-09-20	seg7	blasthit	EPI_ISL_158292	A/mallard/Sweden/59896/2007	H4N6	20/09/2007	2007	Sweden	anseriformes	red2
blasthit|EPI_ISL_243659|A/mallard_duck/Netherlands/10/2012|A_/_H6N1|2012-09-05	seg7	blasthit	EPI_ISL_243659	A/mallard_duck/Netherlands/10/2012	H6N1	05/09/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_189342|A/mallard/Sweden/737/2002|A_/_H10N2|2002-11-12	seg7	blasthit	EPI_ISL_189342	A/mallard/Sweden/737/2002	H10N2	12/11/2002	2002	Sweden	anseriformes	red2
blasthit|EPI_ISL_189346|A/mallard/Sweden/831/2002|A_/_H10N2|2002-11-14	seg7	blasthit	EPI_ISL_189346	A/mallard/Sweden/831/2002	H10N2	14/11/2002	2002	Sweden	anseriformes	red2
blasthit|EPI_ISL_189400|A/mallard/Sweden/68529/2007|A_/_H12N5|2007-10-16	seg7	blasthit	EPI_ISL_189400	A/mallard/Sweden/68529/2007	H12N5	16/10/2007	2007	Sweden	anseriformes	red2
blasthit|EPI_ISL_189399|A/mallard/Sweden/60069/2007|A_/_H12N5|2007-10-15	seg7	blasthit	EPI_ISL_189399	A/mallard/Sweden/60069/2007	H12N5	15/10/2007	2007	Sweden	anseriformes	red2
blasthit|EPI_ISL_73380|A/mallard/Sweden/48/2002|A_/_H11N9|2002-11-14	seg7	blasthit	EPI_ISL_73380	A/mallard/Sweden/48/2002	H11N9	14/11/2002	2002	Sweden	anseriformes	red2
blasthit|EPI_ISL_73378|A/mallard/Sweden/45/2002|A_/_H11N8|2002-11-13	seg7	blasthit	EPI_ISL_73378	A/mallard/Sweden/45/2002	H11N8	13/11/2002	2002	Sweden	anseriformes	red2
blasthit|EPI_ISL_189352|A/mallard/Sweden/4411/2004|A_/_H10N4|2004-06-18	seg7	blasthit	EPI_ISL_189352	A/mallard/Sweden/4411/2004	H10N4	18/06/2004	2004	Sweden	anseriformes	red2
blasthit|EPI_ISL_189351|A/mallard/Sweden/4401/2004|A_/_H10N4|2004-06-18	seg7	blasthit	EPI_ISL_189351	A/mallard/Sweden/4401/2004	H10N4	18/06/2004	2004	Sweden	anseriformes	red2
blasthit|EPI_ISL_189401|A/mallard/Sweden/69794/2007|A_/_H12N5|2007-11-12	seg7	blasthit	EPI_ISL_189401	A/mallard/Sweden/69794/2007	H12N5	12/11/2007	2007	Sweden	anseriformes	red2
blasthit|EPI_ISL_158186|A/mallard/Sweden/80057/2008|A|2008-11-18	seg7	blasthit	EPI_ISL_158186	A/mallard/Sweden/80057/2008	A	18/11/2008	2008	Sweden	anseriformes	red2
blasthit|EPI_ISL_158184|A/mallard/Sweden/79261/2008|A|2008-11-13	seg7	blasthit	EPI_ISL_158184	A/mallard/Sweden/79261/2008	A	13/11/2008	2008	Sweden	anseriformes	red2
blasthit|EPI_ISL_158219|A/mallard/Sweden/5714/2005|A_/_H4N6|2005-11-02	seg7	blasthit	EPI_ISL_158219	A/mallard/Sweden/5714/2005	H4N6	02/11/2005	2005	Sweden	anseriformes	red2
blasthit|EPI_ISL_158224|A/mallard/Sweden/5763/2005|A_/_H4N6|2005-11-04	seg7	blasthit	EPI_ISL_158224	A/mallard/Sweden/5763/2005	H4N6	04/11/2005	2005	Sweden	anseriformes	red2
blasthit|EPI_ISL_158220|A/mallard/Sweden/5724/2005|A_/_H4N2|2005-11-02	seg7	blasthit	EPI_ISL_158220	A/mallard/Sweden/5724/2005	H4N2	02/11/2005	2005	Sweden	anseriformes	red2
blasthit|EPI_ISL_158321|A/mallard/Sweden/79167/2008|A|2008-11-12	seg7	blasthit	EPI_ISL_158321	A/mallard/Sweden/79167/2008	A	12/11/2008	2008	Sweden	anseriformes	red2
blasthit|EPI_ISL_158327|A/mallard/Sweden/79328/2008|A_/_H4N6|2008-11-14	seg7	blasthit	EPI_ISL_158327	A/mallard/Sweden/79328/2008	H4N6	14/11/2008	2008	Sweden	anseriformes	red2
blasthit|EPI_ISL_158324|A/mallard/Sweden/79230/2008|A|2008-11-13	seg7	blasthit	EPI_ISL_158324	A/mallard/Sweden/79230/2008	A	13/11/2008	2008	Sweden	anseriformes	red2
blasthit|EPI_ISL_158333|A/mallard/Sweden/79372/2008|A_/_H4N2|2008-11-15	seg7	blasthit	EPI_ISL_158333	A/mallard/Sweden/79372/2008	H4N2	15/11/2008	2008	Sweden	anseriformes	red2
seal|A/grey_seal/England/027661/2017|H3N8|NS|2017-02	seg8	seal	noid	A/grey_seal/England/027661/2017	H3N8	2017-02	2017	England	seal	blue2
blasthit|EPI_ISL_243486|A/turnstone/Netherlands/1/2010|A_/_H3N8|2010-10-09	seg8	blasthit	EPI_ISL_243486	A/turnstone/Netherlands/1/2010	H3N8	09/10/2010	2010	Netherlands	charadriiformes	red1
blasthit|EPI_ISL_243531|A/barnacle_goose/Netherlands/1/2010|A_/_H6N8|2010-01-08	seg8	blasthit	EPI_ISL_243531	A/barnacle_goose/Netherlands/1/2010	H6N8	08/01/2010	2010	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243490|A/greater_white-fronted_goose/Netherlands/11/2009|A_/_H6N1|2009-12-09	seg8	blasthit	EPI_ISL_243490	A/greater_white-fronted_goose/Netherlands/11/2009	H6N1	09/12/2009	2009	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243385|A/greater_white-fronted_goose/Netherlands/5/2010|A_/_H5N3|2010-11-13	seg8	blasthit	EPI_ISL_243385	A/greater_white-fronted_goose/Netherlands/5/2010	H5N3	13/11/2010	2010	Netherlands	anseriformes	red2
blasthit|EPI_ISL_309814|A/Chicken/Netherlands/13016263-031-035/2013|A_/_H5N3|2013-12-10	seg8	blasthit	EPI_ISL_309814	A/Chicken/Netherlands/13016263-031-035/2013	H5N3	10/12/2013	2013	Netherlands	galliformes	red3
blasthit|EPI_ISL_309813|A/Chicken/Netherlands/13015884/2013|A_/_H5N3|2013-11-29	seg8	blasthit	EPI_ISL_309813	A/Chicken/Netherlands/13015884/2013	H5N3	29/11/2013	2013	Netherlands	galliformes	red3
blasthit|EPI_ISL_267166|A/mallard_duck/Netherlands/38/2008|A_/_H5N3|2008-10-08	seg8	blasthit	EPI_ISL_267166	A/mallard_duck/Netherlands/38/2008	H5N3	08/10/2008	2008	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243609|A/barnacle_goose/Netherlands/1/2011|A_/_H6N8|2011-01-06	seg8	blasthit	EPI_ISL_243609	A/barnacle_goose/Netherlands/1/2011	H6N8	06/01/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_158341|A/mallard/Sweden/79978/2008|A_/_H4N6|2008-11-16	seg8	blasthit	EPI_ISL_158341	A/mallard/Sweden/79978/2008	H4N6	16/11/2008	2008	Sweden	anseriformes	red2
blasthit|EPI_ISL_291186|A/Common_Teal/Netherlands/12002960/2012|A_/_H8N4|2012-02-12	seg8	blasthit	EPI_ISL_291186	A/Common_Teal/Netherlands/12002960/2012	H8N4	12/02/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267386|A/mallard_duck/Netherlands/34/2010|A_/_H3N2|2010-10-08	seg8	blasthit	EPI_ISL_267386	A/mallard_duck/Netherlands/34/2010	H3N2	08/10/2010	2010	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243397|A/mallard_duck/Netherlands/27/2009|A_/_H4N6|2009-12-21	seg8	blasthit	EPI_ISL_243397	A/mallard_duck/Netherlands/27/2009	H4N6	21/12/2009	2009	Netherlands	anseriformes	red2
blasthit|EPI_ISL_158183|A/mallard/Sweden/52405/2006|A|2006-10-28	seg8	blasthit	EPI_ISL_158183	A/mallard/Sweden/52405/2006	A	28/10/2006	2006	Sweden	anseriformes	red2
blasthit|EPI_ISL_328963|A/mallard_duck/Netherlands/18/2015|A_/_H7N7|2015-06-27	seg8	blasthit	EPI_ISL_328963	A/mallard_duck/Netherlands/18/2015	H7N7	27/06/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_309804|A/Chicken/Netherlands/11004004/2011|A_/_H8N4|2011-03-09	seg8	blasthit	EPI_ISL_309804	A/Chicken/Netherlands/11004004/2011	H8N4	09/03/2011	2011	Netherlands	galliformes	red3
blasthit|EPI_ISL_291193|A/Mallard/Netherlands/09014545/2009|A_/_H4N6|2009-08-12	seg8	blasthit	EPI_ISL_291193	A/Mallard/Netherlands/09014545/2009	H4N6	12/08/2009	2009	Netherlands	anseriformes	red2
blasthit|EPI_ISL_291189|A/Swan/Netherlands/14000281/2014|A_/_H5N2|2014-01-08	seg8	blasthit	EPI_ISL_291189	A/Swan/Netherlands/14000281/2014	H5N2	08/01/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267297|A/mallard_duck/Netherlands/16/2014|A_/_H2N9|2014-08-29	seg8	blasthit	EPI_ISL_267297	A/mallard_duck/Netherlands/16/2014	H2N9	29/08/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267194|A/mallard_duck/Netherlands/14/2014|A_/_H2N9|2014-08-27	seg8	blasthit	EPI_ISL_267194	A/mallard_duck/Netherlands/14/2014	H2N9	27/08/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243666|A/mallard_duck/Netherlands/26/2011|A_/_H11N9|2011-10-10	seg8	blasthit	EPI_ISL_243666	A/mallard_duck/Netherlands/26/2011	H11N9	10/10/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243513|A/Eurasian_teal/Netherlands/1/2011|A_/_H3N8|2011-10-15	seg8	blasthit	EPI_ISL_243513	A/Eurasian_teal/Netherlands/1/2011	H3N8	15/10/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243608|A/mallard_duck/Netherlands/15/2011|A_/_H6N8|2011-09-14	seg8	blasthit	EPI_ISL_243608	A/mallard_duck/Netherlands/15/2011	H6N8	14/09/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267256|A/mallard_duck/Netherlands/18/2014|A_/_H1N1|2014-08-27	seg8	blasthit	EPI_ISL_267256	A/mallard_duck/Netherlands/18/2014	H1N1	27/08/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267352|A/mallard_duck/Netherlands/9/2014|A_/_H6N2|2014-10-28	seg8	blasthit	EPI_ISL_267352	A/mallard_duck/Netherlands/9/2014	H6N2	28/10/2014	2014	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243659|A/mallard_duck/Netherlands/10/2012|A_/_H6N1|2012-09-05	seg8	blasthit	EPI_ISL_243659	A/mallard_duck/Netherlands/10/2012	H6N1	05/09/2012	2012	Netherlands	anseriformes	red2
blasthit|EPI_ISL_158233|A/mallard/Sweden/50108/2006|A_/_H4N6|2006-08-12	seg8	blasthit	EPI_ISL_158233	A/mallard/Sweden/50108/2006	H4N6	12/08/2006	2006	Sweden	anseriformes	red2
blasthit|EPI_ISL_267292|A/white-fronted_goose/Netherlands/5/2011|A_/_H6N8|2011-12-14	seg8	blasthit	EPI_ISL_267292	A/white-fronted_goose/Netherlands/5/2011	H6N8	14/12/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_267289|A/white-fronted_goose/Netherlands/3/2010|A_/_H5N2|2010-01-29	seg8	blasthit	EPI_ISL_267289	A/white-fronted_goose/Netherlands/3/2010	H5N2	29/01/2010	2010	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243542|A/greater_white-fronted_goose/Netherlands/2/2010|A_/_H5N2|2010-01-29	seg8	blasthit	EPI_ISL_243542	A/greater_white-fronted_goose/Netherlands/2/2010	H5N2	29/01/2010	2010	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243607|A/mallard_duck/Netherlands/24/2013|A_/_H4N6|2013-09-16	seg8	blasthit	EPI_ISL_243607	A/mallard_duck/Netherlands/24/2013	H4N6	16/09/2013	2013	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243588|A/mallard_duck/Netherlands/20/2011|A_/_H6N8|2011-09-24	seg8	blasthit	EPI_ISL_243588	A/mallard_duck/Netherlands/20/2011	H6N8	24/09/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_116136|A/mallard/Czech_Republic/14333-1K/2011|A_/_H3N8|2011-09-16	seg8	blasthit	EPI_ISL_116136	A/mallard/Czech_Republic/14333-1K/2011	H3N8	16/09/2011	2011	Czech_Republic	anseriformes	red2
blasthit|EPI_ISL_328962|A/mallard_duck/Netherlands/35/2015|A_/_H4N6|2015-08-22	seg8	blasthit	EPI_ISL_328962	A/mallard_duck/Netherlands/35/2015	H4N6	22/08/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_250234|A/pintail/Chany/198/2016|A_/_H3N8|2016-09-10	seg8	blasthit	EPI_ISL_250234	A/pintail/Chany/198/2016	H3N8	10/09/2016	2016	Chany	anseriformes	red2
blasthit|EPI_ISL_243563|A/mallard_duck/Netherlands/3/2015|A_/_H7N7|2015-01-24	seg8	blasthit	EPI_ISL_243563	A/mallard_duck/Netherlands/3/2015	H7N7	24/01/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243612|A/mallard_duck/Netherlands/2/2015|A_/_H7N7|2015-01-16	seg8	blasthit	EPI_ISL_243612	A/mallard_duck/Netherlands/2/2015	H7N7	16/01/2015	2015	Netherlands	anseriformes	red2
blasthit|EPI_ISL_243479|A/greater_white-fronted_goose/Netherlands/6/2011|A_/_H6N8|2011-12-14	seg8	blasthit	EPI_ISL_243479	A/greater_white-fronted_goose/Netherlands/6/2011	H6N8	14/12/2011	2011	Netherlands	anseriformes	red2
blasthit|EPI_ISL_149867|A/eurasian_wigeon/Mongolia/340V/2009|A_/_H4N6|2009-08-14	seg8	blasthit	EPI_ISL_149867	A/eurasian_wigeon/Mongolia/340V/2009	H4N6	14/08/2009	2009	Mongolia	anseriformes	red2
blasthit|EPI_ISL_125858|A/white-fronted_goose/Mongolia/1-125/2008|A_/_H3N8|2008-05-XX	seg8	blasthit	EPI_ISL_125858	A/white-fronted_goose/Mongolia/1-125/2008	H3N8	2008-05-XX	2008	Mongolia	anseriformes	red2
blasthit|EPI_ISL_87299|A/shoveler/Koymor/118/2009|A_/_H3|2009-09-02	seg8	blasthit	EPI_ISL_87299	A/shoveler/Koymor/118/2009	H3	02/09/2009	2009	Koymor	anseriformes	red2
blasthit|EPI_ISL_333614|A/common_teal/Chany/893/2018|A_/_H3N6|2018-09-01	seg8	blasthit	EPI_ISL_333614	A/common_teal/Chany/893/2018	H3N6	01/09/2018	2018	Chany	anseriformes	red2
blasthit|EPI_ISL_333613|A/common_teal/Chany/892/2018|A_/_H3N6|2018-09-01	seg8	blasthit	EPI_ISL_333613	A/common_teal/Chany/892/2018	H3N6	01/09/2018	2018	Chany	anseriformes	red2
blasthit|EPI_ISL_333612|A/common_teal/Chany/891/2018|A_/_H3N6|2018-09-01	seg8	blasthit	EPI_ISL_333612	A/common_teal/Chany/891/2018	H3N6	01/09/2018	2018	Chany	anseriformes	red2
blasthit|EPI_ISL_333611|A/common_teal/Chany/889/2018|A_/_H3N6|2018-09-01	seg8	blasthit	EPI_ISL_333611	A/common_teal/Chany/889/2018	H3N6	01/09/2018	2018	Chany	anseriformes	red2
blasthit|EPI_ISL_297466|A/chicken/Kostroma/1721/2017|A_/_H5N2|2017-12-22	seg8	blasthit	EPI_ISL_297466	A/chicken/Kostroma/1721/2017	H5N2	22/12/2017	2017	Kostroma	galliformes	red3
blasthit|EPI_ISL_297465|A/chicken/Kostroma/1720/2017|A_/_H5N2|2017-12-22	seg8	blasthit	EPI_ISL_297465	A/chicken/Kostroma/1720/2017	H5N2	22/12/2017	2017	Kostroma	galliformes	red3
blasthit|EPI_ISL_297464|A/chicken/Kostroma/1719/2017|A_/_H5N2|2017-12-22	seg8	blasthit	EPI_ISL_297464	A/chicken/Kostroma/1719/2017	H5N2	22/12/2017	2017	Kostroma	galliformes	red3
blasthit|EPI_ISL_297463|A/chicken/Kostroma/1717/2017|A_/_H5N2|2017-12-22	seg8	blasthit	EPI_ISL_297463	A/chicken/Kostroma/1717/2017	H5N2	22/12/2017	2017	Kostroma	galliformes	red3
blasthit|EPI_ISL_250233|A/mallard/Chany/185/2016|A_/_H3N8|2016-09-10	seg8	blasthit	EPI_ISL_250233	A/mallard/Chany/185/2016	H3N8	10/09/2016	2016	Chany	anseriformes	red2
